country	analysis	value
Spain	LP_40_consistency	0.997
Spain	LP_40_2_nodes	1
Spain	GP_40_consistency	0.987
Spain	GP_40_2_nodes	0.997
Spain	GP_all_consistency	0.962
Spain	GP_all_2_nodes	0.996
Thailand	LP_40_consistency	0.971
Thailand	LP_40_2_nodes	1
Thailand	GP_40_consistency	0.979
Thailand	GP_40_2_nodes	1
Thailand	GP_all_consistency	0.989
Thailand	GP_all_2_nodes	1
Moldova	LP_40_consistency	0.882
Moldova	LP_40_2_nodes	0.994
Moldova	GP_40_consistency	0.911
Moldova	GP_40_2_nodes	0.988
Moldova	GP_all_consistency	0.945
Moldova	GP_all_2_nodes	0.989
