SAMD00025185	DRX026725
SAMD00025186	DRX026726
SAMD00026324	DRX026721
SAMD00117790	DRX122820
SAMD00117792	DRX122822
SAMD00117937	DRX122967
SAMD00142421	DRX179472
SAMD00142446	DRX178961
SAMD00142582	DRX179134
SAMD00142653	DRX179217
SAMD00142723	DRX179323
SAMD00142734	DRX179345
SAMD00142883	DRX179567
SAMD00142935	DRX179074
SAMD00142944	DRX179117
SAMD00178988	DRX175394
SAMD00179038	DRX175444
SAMD00179040	DRX175446
SAMD00179094	DRX175500
SAMD00179095	DRX175501
SAMD00179115	DRX175521
SAMD00263653	DRX250746
SAMD00263654	DRX250747
SAMD00263656	DRX250749
SAMD00263657	DRX250750
SAMD00263658	DRX250751
SAMD00263717	DRX250810
SAMD00263719	DRX250812
SAMD00263725	DRX250818
SAMD00263732	DRX250825
SAMD00263734	DRX250827
SAMD00263736	DRX250829
SAMD00263738	DRX250831
SAMD00263743	DRX250836
SAMD00263746	DRX250839
SAMD00263751	DRX250844
SAMD00263754	DRX250847
SAMD00263758	DRX250851
SAMD00263759	DRX250852
SAMD00263763	DRX250856
SAMD00263765	DRX250858
SAMD00263766	DRX250859
SAMD00263768	DRX250861
SAMD00263772	DRX250865
SAMD00263773	DRX250866
SAMD00263774	DRX250867
SAMD00263775	DRX250868
SAMD00603860	DRX458256
SAMD00603984	DRX458380
SAMEA104093412	ERX2760684
SAMEA104093414	ERX2760686
SAMEA104093421	ERX2760693
SAMEA104093425	ERX2760697
SAMEA104093432	ERX2760704
SAMEA104093437	ERX2760709
SAMEA104093445	ERX2760717
SAMEA104093449	ERX2760721
SAMEA104093451	ERX2760723
SAMEA104093452	ERX2760724
SAMEA104093456	ERX2760728
SAMEA104093467	ERX2760739
SAMEA104112300	ERX2707676
SAMEA104112307	ERX2707683
SAMEA104112311	ERX2707687
SAMEA104112313	ERX2707689
SAMEA104112315	ERX2707691
SAMEA104112317	ERX2707693
SAMEA104112320	ERX2707696
SAMEA104112322	ERX2707698
SAMEA104112323	ERX2707699
SAMEA104112330	ERX2707706
SAMEA104394423	['ERX2254785','ERX2822355']
SAMEA104394653	['ERX2255060','ERX2822400']
SAMEA104555688	ERX3309551
SAMEA104555690	ERX3309553
SAMEA104555711	ERX3309573
SAMEA104555734	ERX3309596
SAMEA104600275	ERX2358778
SAMEA104600278	ERX2358781
SAMEA1101338	ERX2529598
SAMEA1117913	ERX2531942
SAMEA1118137	ERX2532166
SAMEA1118215	ERX2532244
SAMEA1119325	ERX2533354
SAMEA112181280	ERX10082425
SAMEA112181315	ERX10082590
SAMEA112799056	ERX10491577
SAMEA112799610	ERX10496249
