G04	SAMEA5076054
G1011	SAMEA5076056
G1015	SAMEA5076057
G1058	SAMEA5076058
G1090	SAMEA5076060
G1099	SAMEA5076061
G114	SAMEA5076062
G1141	SAMEA5076063
G1156	SAMEA5076064
G1163	SAMEA5076065
G1180	SAMEA5076066
G1181	SAMEA5076067
G1246	SAMEA5076069
G125	SAMEA5076070
G1261	SAMEA5076071
G1273	SAMEA118265100
G1288m	SAMEA5076072
G1303	SAMEA5076074
G1308	SAMEA5076075
G1314	SAMEA118265101
G1320	SAMEA5076076
G1330	SAMEA5076077
G1342	SAMEA5076078
G1411	SAMEA5076080
G1432	SAMEA5076081
G1433	SAMEA118265102
G1440	SAMEA5076082
G1446	SAMEA5076083
G1449	SAMEA5076084
G145	SAMEA5076085
G146m	SAMEA5076086
G147	SAMEA5076087
G1514	SAMEA118265103
G1544	SAMEA5076090
G1566	SAMEA118265105
G1567	SAMEA5076091
G1570	SAMEA5076092
G1571	SAMEA5076093
G1577	SAMEA5076094
G1578	SAMEA5076095
G1603	SAMEA5076097
G1610	SAMEA5076098
G1621	SAMEA5076099
G1630	SAMEA5076100
G1644	SAMEA5076101
G1648	SAMEA5076102
G1653	SAMEA5076103
G167	SAMEA118265106
G1676	SAMEA5076104
G1701	SAMEA5076105
G1732	SAMEA5076106
G1747	SAMEA5076107
G1753	SAMEA118265107
G1756m	SAMEA118265108
G1761	SAMEA5076108
G1775	SAMEA5076109
G1777m	SAMEA114663800
G1785	SAMEA5076110
G1788	SAMEA5076111
G1792	SAMEA5076112
G1823	SAMEA5076113
G1828m	SAMEA114663802
G1829	SAMEA5076114
G1839	SAMEA5076115
G1842	SAMEA5076116
G1852	SAMEA118265109
G1853	SAMEA118265110
G1854	SAMEA118265111
G1855m	SAMEA118265112
G1857m	SAMEA118265113
G1858m	SAMEA118265114
G1859	SAMEA118265115
G1860	SAMEA118265116
G1861	SAMEA118265117
G1863	SAMEA118265118
G1864	SAMEA118265119
G1865	SAMEA118265120
G1866m	SAMEA118265121
G1867m	SAMEA118265122
G1868m	SAMEA118265123
G1869m	SAMEA118265124
G1889	SAMEA5076117
G19	SAMEA5076118
G1907	SAMEA118265129
G1908	SAMEA118265130
G1909	SAMEA118265131
G1911	SAMEA118265132
G1912	SAMEA118265133
G1913	SAMEA118265134
G1914	SAMEA118265135
G1915	SAMEA118265136
G1916	SAMEA118265137
G1920	SAMEA118265138
G1921	SAMEA118265139
G1922	SAMEA118265140
G1923	SAMEA118265141
G1932	SAMEA118265142
G1935	SAMEA118265143
G1936	SAMEA118265144
G1938	SAMEA118265145
G1939	SAMEA5076119
G1952	SAMEA118265146
G1953	SAMEA118265147
G1955	SAMEA118265148
G1956	SAMEA118265149
G1962	SAMEA118265150
G1964	SAMEA118265151
G1965	SAMEA5076120
G1969	SAMEA118265152
G1970	SAMEA118265153
G1971	SAMEA118265154
G1972	SAMEA118265155
G1983m	SAMEA118265156
G1984	SAMEA118265157
